"125","ЕМЕЛЬЯНОВ","0.59","0.02","0.07","0.21","0.08","0.12","0.09"
"126","ГОРШКОВ","0.59","0.06","0.34","0.04","0.05","0.02","0.08"
"127","ЧЕРНОВ","0.57","0.02","0.04","0.13","0.01","0.15","0.22"
"128","ОВЧИННИКОВ","0.58","0.09","0.08","0.1","0.07","0.07","0.17"
"129","СЕЛЕЗНЁВ","0.57","0.14","0.06","0.14","0.04","0.09","0.1"
"130","ПАНФИЛОВ","0.57","0.09","0.08","0.07","0.29","0.01","0.03"
"131","КОПЫЛОВ","0.56","0.07","0.16","0.02","0.24","0.04","0.03"
"132","МИХЕЕВ","0.56","0.01","0.1","0.08","0.29","0.01","0.07"
"133","ГАЛКИН","0.56","0.12","0.27","0.07","0.03","0.02","0.05"
"134","НАЗАРОВ","0.56","0.05","0.1","0.06","0.17","0.05","0.13"
"135","ЛОБАНОВ","0.54","0.15","0.08","0.14","0.08","0.02","0.07"
"136","ЛУКИН","0.55","0.05","0.09","0.05","0.3","0.01","0.05"
"137","БЕЛЯКОВ","0.55","0.1","0.2","0.1","0.09","0.01","0.05"
"138","ПОТАПОВ","0.53","0.02","0.03","0.19","0.01","0.11","0.17"
"139","НЕКРАСОВ","0.53","0.1","0.06","0.04","0.17","0.06","0.1"
"140","ХОХЛОВ","0.52","0.15","0.13","0.06","0.06","0.05","0.07"
"141","ЖДАНОВ","0.53","0.01","0.06","0.02","0.19","0.15","0.1"
"142","НАУМОВ","0.52","0.1","0.05","0.07","0.05","0.08","0.17"
"143","ШИЛОВ","0.51","0.25","0.12","0.03","0.05","0.02","0.04"
"144","ВОРОНЦОВ","0.51","0.22","0.15","0.03","0.01","0.05","0.05"
"145","ЕРМАКОВ","0.48","0.02","0.04","0.29","0.05","0.06","0.02"
"146","ДРОЗДОВ","0.47","0.04","0.08","0.24","0.05","0.02","0.04"
"147","ИГНАТЬЕВ","0.48","0.03","0.09","0.09","0.1","0.05","0.12"
"148","САВИН","0.46","0.12","0.03","0.06","0.12","0.06","0.07"
"149","ЛОГИНОВ","0.45","0.07","0.14","0.09","0.05","0.01","0.09"
"150","САФОНОВ","0.45","0.03","0.05","0.08","0.02","0.21","0.06"
"151","КАПУСТИН","0.44","0.09","0.06","0.03","0.01","0.22","0.03"
"152","КИРИЛЛОВ","0.44","0.03","0.18","0.08","0.04","0.05","0.06"
"153","МОИСЕЕВ","0.43","0.03","0.07","0.14","0.04","0.04","0.11"
"154","ЕЛИСЕЕВ","0.41","0.04","0.04","0.14","0.01","0.13","0.05"
"155","КОШЕЛЕВ","0.42","0","0.16","0.06","0.11","0.02","0.07"
"156","КОСТИН","0.41","0","0.05","0.09","0.11","0.08","0.08"
"157","ГОРБАЧЁВ","0.41","0.05","0.09","0.15","0.04","0.06","0.02"
"158","ОРЕХОВ","0.42","0.03","0.05","0.15","0.06","0.1","0.03"
"159","ЕФРЕМОВ","0.4","0.02","0.13","0.08","0.04","0.05","0.08"
"160","ИСАЕВ","0.4","0.01","0.16","0.09","0.01","0.08","0.05"
"161","ЕВДОКИМОВ","0.4","0.03","0.04","0.06","0.06","0.09","0.12"
